"id","category","title","expiryDate","numOfAgrees"
"449459","교통/건축/국토","불법건축물 양성화 특별법 발의 청원",2021-01-20,319
"449458","행정","‘자의로’ 시험을 거부한 의대생의 구제를 반대합니다",2021-01-20,10527
"449457","인권/성평등","가습기살균제.정부의 비리와 가해기업,검찰의 유착 관계를 밝히는데 도움부탁드립니다.",2021-01-20,1747
"449456","보건복지","강원도 코로나19에 대해서 몇글자 적어봅니다",2021-01-20,530
"449455","보건복지","의사국시 재시험 반대합니다.",2021-01-20,23488
"449454","육아/교육","고3학생 양육비 20만원지원 졸업시까지 지원해 주십시요.♡",2021-01-20,382
"449453","인권/성평등","N번방 비슷한 피해유형을 겪고 있습니다",2021-01-20,3458
"449452","일자리","조작된 수습평가 그리고 부당해고",2021-01-20,430
"449451","보건복지","거리두기 3단계 해주세요",2021-01-20,1473
"449450","보건복지","코로나19 거리두기 격상으로 인한 동부구치소 민원실 잠정 폐쇄 후 현재 수용자들 코로나 확진 급증에 대한 이의제기. 심각 합니다.",2021-01-20,363
"449449","기타","국영기업인금융감독원을해체하여주십시오",2021-01-20,1393
"449448","일자리","** (****타워) 건물미화관리 80명 부당집단해고 말도안되는 현실 도와주세요 [최저시급X, 부당해고]",2021-01-20,76550
"449447","안전/환경","강원도 동해시 한 초등학교 확진자가족입니다.",2021-01-20,10063
"449446","정치개혁","동물살해봄 처벌강화",2021-01-20,2725
"449445","보건복지","보건복지부는 어린이집의 현실을 파악하시고 보육교사의 근무환경을 내년부터 적용될 수 있도록 개선에 힘써주시길 간곡히 부탁드립니다.",2021-01-20,5836
"449444","경제민주화","저는 소상공인 입니다.우리는 지금 세월호 2에 있습니다.",2021-01-20,428
"449443","반려동물","길냥이 학대 유튜버 수사 착수와 처벌 요청 합니다",2021-01-20,103063
"449442","행정","소멸되는 적립 포인트를 현금화하여 재난지원금 재원으로 전환",2021-01-20,374
"449441","행정","택시기사를 폭행한 이용구 법무차관의 해임을 요구 합니다",2021-01-20,1986
"449440","문화/예술/체육/언론","KBS 의 '수신료 동결' 및 '구조 조정', '평균 연봉 1억 1천 임금 삭감'을 청원합니다.",2021-01-20,1463
"449439","기타","****** 운영 조작을 통한 부당 이익을 막아주세요",2021-01-20,241
"449438","인권/성평등","택시기사를 폭행한 범죄자 이용구 법무차관의 해임을 청원합니다",2021-01-20,1595
"449437","보건복지","종교지도자의 범행에 가중처벌할 수 있는 제도가 필요합니다!",2021-01-20,736
"449436","교통/건축/국토","경부고속도로 버스전용차로 시작점 조정으로 교통사고방지 및 교통체증 감소",2021-01-20,193
"449435","교통/건축/국토","피해자를 우롱하는 불구속 수사를 중지하고 가해자를 구속하라~",2021-01-20,538
"449434","기타","이용구법무차관을 해임해주십시요",2021-01-20,11998
"449433","정치개혁","검찰해체",2021-01-20,4110
"449432","정치개혁","공수처법시행에따른 고위직공무원의 범죄공소시효폐지",2021-01-20,3204
"449431","행정","청주시 코로나 확진자 이동경로 공개시켜 주세요",2021-01-20,783
"449430","정치개혁","이용구 법무부 차관 즉시 파면해야 합니다.",2021-01-20,2359
"449429","보건복지","코로나 음성결과인 자가 격리자의 맹장수술을 도와주세요",2021-01-20,3875
"449428","보건복지","코로나문제로 노심초사인 언론인들에게 코로나백신 우선접종할 수 있도록 청원드립니다.",2021-01-20,3996
"449427","보건복지","방배동 모자사건을 알린 사회복지사분 대통령 표창좀주세요",2021-01-20,280
"449426","문화/예술/체육/언론","*** *** 사장은 제정신인가?",2021-01-20,1222
"449425","보건복지","코로나 백신 도입시, 우리나라 기자분들이 가장 먼저 접종받을 수 있도록 선처 바랍니다.",2021-01-20,98497
"449424","안전/환경","**EV 전기차 보상받게 해주세요",2021-01-20,1200
"449423","행정","India-Korea Air bubble permission",2021-01-20,537
"449422","행정","저는 배달도 포장도 할 수 없는 음식점 자영업자 입니다.",2021-01-20,278
"449421","육아/교육","중학교 2학년 우리아이 시험 볼 수 있게 응원해주세요!!(코로나 관련 교육부 지침 이의 제기)",2021-01-20,300
"449420","보건복지","보수 야당 국회의원과 보수 언론인들에게 백신 우선 접종을 실시해주세요.",2021-01-20,4422
"449419","정치개혁","최강욱 열린민주당 대표를 신임 법무부 장관으로 추천합니다!",2021-01-20,4047
"449418","기타","해돋이 인파가 몰리지않게 해변 및 해안가 출입을 금지시켜주세요.",2021-01-20,2542
"449417","안전/환경","청북읍 폐기물 건축허가로 평택시민들을 암환자로 만들고있는 평택시장 및 평택시청을 고발합니다!!",2021-01-20,8195
"449416","보건복지","당장 사회적 거리두기 3단계 격상 바랍니다.",2021-01-20,558
"449415","보건복지","보건증 발급비용을 안정화시켜주기바랍니다",2021-01-20,258
"449414","경제민주화","음모와 모략으로 억울한 누명을 쓰고 한 순간에 죄인이 되었습니다.",2021-01-20,279
"449413","교통/건축/국토","[부동산] 정부 말 믿고 기다린 사람들은 임대주택 가go, 정부 말 믿지 않고 투기한 사람들은 부자되go. 이것이 공정입니까",2021-01-20,571
